molecule_number,Mol num,smiles,"pka (h2O/dioxane, 70C)",pKa (fitted),"pKaH (fitted, 70C)","pKaH (NMR, 25C)",pH,log(k_obs),T (celcius),Solvents,Ratio of solvents,Percent zwitterion at pH 5.0-5.5,Concentration (mol/L),Notes
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,0.95,-4.01,70,"water, dioxane",50/50,95%,0.05,NB: All data from cox PhD
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,1.09,-3.91,70,"water, dioxane",50/50,95%,0.05,Some temperatures are 90 degrees C!
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,1.3,-3.78,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,1.71,-3.31,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,1.95,-3.17,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,2.35,-2.76,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,3.28,-2.28,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,3.6,-2.12,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,4.4,-1.74,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,5.04,-1.68,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,6.48,-1.55,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,7.55,-1.52,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,8.22,-1.59,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,9.11,-1.6,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,9.82,-1.7,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,10.48,-1.79,70,"water, dioxane",50/50,95%,0.05,
