molecule_number,int,H2O,TS,delta_E,k_obs_max
50,-805.0706078,-76.44874448,-881.4969061,0.022446206,-6
51,-482.1006098,-76.44874448,-558.5282418,0.021112463,-5.01
52,-805.076415,-76.44874448,-881.5080697,0.017089793,-3.93
54,-330.6336612,-76.44874448,-407.0515635,0.03084219,-5.98
55,-369.9483323,-76.44874448,-446.3605983,0.036478495,-6.13
56,-292.5503423,-76.44874448,-368.9647199,0.034366901,-7.27
57,-409.2581829,-76.44874448,-485.667881,0.039046443,-6.86
58,-487.9198429,-76.44874448,-564.3376621,0.030925316,-6.46
60,-478.2793256,-76.44874448,-554.7036203,0.024449794,-5.19
61,-576.7774052,-76.44874448,-653.2048965,0.021253222,-3.81
62,-516.4044695,-76.44874448,-592.8311732,0.022040823,-5.05
63,-500.3556179,-76.44874448,-576.7792283,0.025134114,-5.64
64,-500.3569932,-76.44874448,-576.7805251,0.025212572,-5.69
65,-631.956897,-76.44874448,-708.3795479,0.02609356,-5.82
66,-821.1320956,-76.44874448,-897.5671883,0.013651781,-2
67,-517.6007655,-76.44874448,-594.0288907,0.020619196,-3.87
68,-478.2904226,-76.44874448,-554.71665,0.022517079,-4.37
