molecule_number,int,Ar-,BOH3,delta_E,k_obs_max
28,-598.8517947,-346.2529427,-252.5446122,0.054239829,-6.63
71,-682.8338475,-430.2589461,-252.5446122,0.030289245,-0.87
72,-980.5784692,-728.0140499,-252.5446122,0.019807112,2.43
73,-484.3097832,-231.7113061,-252.5446122,0.053864945,-7.39
74,-583.5740022,-330.9857327,-252.5446122,0.043657348,-5
75,-583.5707162,-330.9746652,-252.5446122,0.051438825,-7.4
76,-583.5695272,-330.9716805,-252.5446122,0.05323455,-7.23
77,-682.8273741,-430.243241,-252.5446122,0.039520963,-3.92
78,-682.8312148,-430.2445287,-252.5446122,0.04207387,-4.6
79,-682.83195,-430.2464053,-252.5446122,0.040932562,-4.2
80,-682.8230887,-430.227708,-252.5446122,0.050768485,-7.13
81,-682.8300181,-430.2366745,-252.5446122,0.048731383,-7.08
82,-782.0780359,-529.4952121,-252.5446122,0.038211689,-3.53
83,-782.0842446,-529.5032036,-252.5446122,0.036428918,-2.95
84,-782.0826072,-529.498584,-252.5446122,0.039410973,-3.76
85,-782.0754628,-529.4830898,-252.5446122,0.047760825,-6.77
86,-881.3286399,-628.7491967,-252.5446122,0.034831023,-2.41
87,-782.0851564,-529.5139371,-252.5446122,0.026607116,0.47
88,-782.0892829,-529.5162148,-252.5446122,0.028455938,-0.26
89,-881.3342549,-628.7649731,-252.5446122,0.024669709,1.02
90,-881.3315887,-628.7686745,-252.5446122,0.018302064,1.79
91,-698.1159757,-445.5271078,-252.5446122,0.044255774,-5.25
92,-920.6829883,-668.0980984,-252.5446122,0.040277791,-4.03
93,-788.1342319,-535.5522722,-252.5446122,0.037347552,-3.1
94,-797.3756616,-544.8000887,-252.5446122,0.030960783,-1.01
95,-995.8645498,-743.2965016,-252.5446122,0.023436,1.88
96,-1158.529133,-905.9382981,-252.5446122,0.046222327,-6.81
97,-893.4266367,-640.8382872,-252.5446122,0.043737346,-4.92
98,-523.6316148,-271.0317679,-252.5446122,0.055234693,-6.8
99,-943.9195841,-691.3248002,-252.5446122,0.0501718,-6.85
