molecule_number,reactant,H2O,TS,delta_E,k_obs_max
44,-424.3781352,-76.44874448,-500.8288145,-0.001934786,-1.52
60,-402.3051978,-76.44874448,-478.7289669,0.024975414,-6.67
61,-500.7995778,-76.44874448,-577.2211449,0.027177421,-6.14
62,-440.4218243,-76.44874448,-516.8544617,0.016107008,-5.47
63,-424.3772685,-76.44874448,-500.8174033,0.008609687,-5.67
64,-424.3762561,-76.44874448,-500.8184143,0.006586297,-5.79
65,-555.9764847,-76.44874448,-632.3928926,0.032336511,-6.93
66,-745.1476403,-76.44874448,-821.5871203,0.009264465,-1.85
67,-441.6155162,-76.44874448,-518.053145,0.011115661,-3.79
68,-402.3077801,-76.44874448,-478.7391019,0.017422713,-4.27
69,-538.9325259,-76.44874448,-615.3775206,0.003749788,-2.42
70,-761.4860799,-76.44874448,-837.9268768,0.007947523,-2.76
