molecule_number,k2Ar_Ar-,k2Ar_int,BOH3
0,,,-252.5446122
101,-644.0544565,-896.6488884,
102,-2529.760832,-2782.319239,
103,-13098.8047,-13351.35539,
104,-323.986534,-576.5800586,
105,-365.6927213,-618.2846407,
107,-1150.929595,-1403.520625,
108,-669.2242728,-921.8225089,
109,-306.9557855,-559.5524343,
110,-568.8300554,-821.4135547,
111,-5378.569831,-5631.133104,
112,-691.3212295,-943.9160306,
113,-568.8254843,-821.4206554,
114,-271.0314971,-523.6283822,
115,-385.3750966,-637.9693319,
116,-346.2550054,-598.8524965,
117,-385.3739253,-637.9700627,
118,-345.0702153,-597.6639151,
119,-346.2603639,-598.8543244,
120,-323.9857431,-576.5778411,
121,-271.0321177,-523.63141,
122,-2805.130692,-3057.725347,
123,-388.9847744,-641.583927,
124,-459.6415173,-712.2360373,
126,-436.2866217,-688.8727411,
127,-384.3960227,-636.9904871,
128,-790.5866155,-1043.177223,
129,-306.9528298,-559.5501401,
130,-568.8260941,-821.4218401,
131,-691.3331555,-943.9142856,
133,-310.352716,-562.9530636,
135,-436.2792322,-688.871231,
136,-420.2759621,-672.8719484,
137,-460.7923034,-713.3919636,
138,-420.3406942,-672.9305083,
139,-345.0699685,-597.662597,
140,-309.1217265,-561.7179515,
142,-345.0689764,-597.6636316,
148,-1150.951987,-1403.519704,
149,-2805.142124,-3057.724994,
150,-2805.134632,-3057.727041,
